window_id,narrative_progress,voted_probes,warriner_nei,nrc_nei,cr4_nrc_nei,center_sentence,full_window_text
187,0.0510568213011254,"warriner,nrc",6.854937908305211,4.363086954607165,3.22884511065156,"And stop making all this fuss about your sense of innocence; you don't make such a bad impression, but with all this fuss you're damaging it.","I can't give you an answer to your questions, but I can give you a bit of advice: You'd better think less about us and what's going to happen to you, and think a bit more about yourself. And stop making all this fuss about your sense of innocence; you don't make such a bad impression, but with all this fuss you're damaging it. And you ought to do a bit less talking, too."
188,0.0513313203403788,"warriner,nrc",6.533725596266762,4.357588162841392,3.3287992515669185,"And you ought to do a bit less talking, too.","And stop making all this fuss about your sense of innocence; you don't make such a bad impression, but with all this fuss you're damaging it. And you ought to do a bit less talking, too. Almost everything you've said so far has been things we could have taken from your behaviour, even if you'd said no more than a few words."
696,0.190776832281087,"warriner,cr4_nrc",10.705065421826916,0.0,5.223229004190045,They could not have taken better precautions if I had been a dangerous robber.,"There were two police thugs occupying the next room. They could not have taken better precautions if I had been a dangerous robber. And these policemen were unprincipled riff-raff, they talked at me till I was sick of it, they wanted bribes, they wanted to trick me into giving them my clothes, they wanted money, supposedly so that they could bring me my breakfast after they had blatantly eaten my own breakfast in front of my eyes."
697,0.1910513313203403,"warriner,cr4_nrc",11.62576254103365,0.0,5.669700896175696,"And these policemen were unprincipled riff-raff, they talked at me till I was sick of it, they wanted bribes, they wanted to trick me into giving them my clothes, they wanted money, supposedly so that they could bring me my breakfast after they had blatantly eaten my own breakfast in front of my eyes.","They could not have taken better precautions if I had been a dangerous robber. And these policemen were unprincipled riff-raff, they talked at me till I was sick of it, they wanted bribes, they wanted to trick me into giving them my clothes, they wanted money, supposedly so that they could bring me my breakfast after they had blatantly eaten my own breakfast in front of my eyes. And even that was not enough."
698,0.1913258303595937,"warriner,cr4_nrc",11.704208336875254,0.0,5.502371470069021,And even that was not enough.,"And these policemen were unprincipled riff-raff, they talked at me till I was sick of it, they wanted bribes, they wanted to trick me into giving them my clothes, they wanted money, supposedly so that they could bring me my breakfast after they had blatantly eaten my own breakfast in front of my eyes. And even that was not enough. I was led in front of the supervisor in another room."
699,0.191600329398847,"warriner,cr4_nrc",11.34015071205311,0.0,5.521127606158405,I was led in front of the supervisor in another room.,"And even that was not enough. I was led in front of the supervisor in another room. This was the room of a lady who I have a lot of respect for, and I was forced to look on while the supervisor and the policemen made quite a mess of this room because of me, although not through any fault of mine."
3168,0.8693384573153994,"warriner,cr4_nrc",6.467578696891186,3.6150798636296555,5.126627664129076,It's impossible to start a sentence without you looking at me as if you were receiving your final judgement.,If you do it again I won't tell you anything else at all. It's impossible to start a sentence without you looking at me as if you were receiving your final judgement. You should be ashamed of yourself here in front of my client!
3169,0.8696129563546527,"warriner,cr4_nrc",6.689866340264309,3.688455115473242,5.349066142268509,You should be ashamed of yourself here in front of my client!,It's impossible to start a sentence without you looking at me as if you were receiving your final judgement. You should be ashamed of yourself here in front of my client! And you're destroying the trust he has for me.
3170,0.8698874553939061,"warriner,cr4_nrc",7.078033272322609,3.8931761062386268,5.668208814446253,And you're destroying the trust he has for me.,You should be ashamed of yourself here in front of my client! And you're destroying the trust he has for me. Just what is it you want?
3171,0.8701619544331595,"warriner,cr4_nrc",7.210264960460556,3.8761902637331738,5.799588692538086,Just what is it you want?,"And you're destroying the trust he has for me. Just what is it you want? You're still alive, you're still under my protection."
3172,0.8704364534724128,"warriner,cr4_nrc",7.405525573816921,0.0,5.838568058152127,"You're still alive, you're still under my protection.","Just what is it you want? You're still alive, you're still under my protection. There's no point in worrying!"
3173,0.8707109525116662,"warriner,cr4_nrc",7.481114459984926,0.0,5.499112041225594,There's no point in worrying!,"You're still alive, you're still under my protection. There's no point in worrying! Somewhere you've read that the final judgement can often come without warning, from anyone at any time."
